% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#0001    controlSTX    SOH
16#0002    controlSOT    STX
16#0003    controlETX    ETX
16#0004    controlEOT    EOT
16#0005    controlENQ    ENQ
16#0006    controlACK    ACK
16#0007    controlBEL    BEL
16#0008    controlBS    BS
16#0009    controlHT    HT
16#000A    controlLF    LF
16#000B    controlVT    VT
16#000C    controlFF    FF
16#000D    controlCR    CR nonmarkingreturn
16#000E    controlSO    SO
16#000F    controlSI    SI
16#0010    controlDLE    DLE DC0
16#0011    controlDC1    XON DC1
16#0012    controlDC2    DC2
16#0013    controlDC3    XOF DC3
16#0014    controlDC4    DC4
16#0015    controlNAK    NAK
16#0016    controlSYN    SYN
16#0017    controlETB    ETB
16#0018    controlCAN    CAN
16#0019    controlEM    EM
16#001A    controlSUB    EOF SUB
16#001B    controlESC    ESC
16#001C    controlFS    IFS FS
16#001D    controlGS    IGS GS
16#001E    controlRS    IRS RS
16#001F    controlUS    IUS US
16#0020  space  spacehackarabic    SP010000
16#0021  exclam      SP020000
16#0022  quotedbl      SP040000
16#0023  numbersign      SM010000
16#0024  dollar      SC030000 milreis escudo
16#0025  percent      SM020000
16#0026  ampersand      SM030000
16#0027  quotesingle      SP050000
16#0028  parenleft      SP060000
16#0029  parenright      SP070000
16#002A  asterisk      SM040000
16#002B  plus      SA010000
16#002C  comma      SP080000
16#002D  hyphen      SP100000 hyphen-minus hyphenminus
16#002E  period      SP110000
16#002F  slash      SP120000
16#0030  zero      ND100000 zerodot zeroslash
16#0031  one      ND010000
16#0032  two      ND020000
16#0033  three      ND030000
16#0034  four      ND040000
16#0035  five      ND050000
16#0036  six      ND060000
16#0037  seven      ND070000
16#0038  eight      ND080000
16#0039  nine      ND090000
16#003A  colon      SP130000
16#003B  semicolon      SP140000
16#003C  less      SA030000
16#003D  equal      SA040000
16#003E  greater      SA050000
16#003F  question      SP150000
16#0040  at      SM050000
16#0041  A      LA020000
16#0042  B      LB020000
16#0043  C      LC020000
16#0044  D      LD020000
16#0045  E      LE020000
16#0046  F      LF020000
16#0047  G      LG020000
16#0048  H      LH020000
16#0049  I      LI020000 Inodot
16#004A  J      LJ020000
16#004B  K      LK020000
16#004C  L      LL020000
16#004D  M      LM020000
16#004E  N      LN020000
16#004F  O      LO020000
16#0050  P      LP020000
16#0051  Q      LQ020000
16#0052  R      LR020000
16#0053  S      LS020000
16#0054  T      LT020000
16#0055  U      LU020000
16#0056  V      LV020000
16#0057  W      LW020000
16#0058  X      LX020000
16#0059  Y      LY020000
16#005A  Z      LZ020000
16#005B  bracketleft      SM060000
16#005C  backslash      SM070000
16#005D  bracketright      SM080000
16#005E  asciicircum      SD150000
16#005F  underscore      SP090000
16#0060  grave      SD130000
16#0061  a      LA010000
16#0062  b      LB010000
16#0063  c      LC010000
16#0064  d      LD010000
16#0065  e      LE010000
16#0066  f      LF010000
16#0067  g      LG010000
16#0068  h      LH010000
16#0069  i      LI010000
16#006A  j      LJ010000
16#006B  k      LK010000
16#006C  l      LL010000
16#006D  m      LM010000
16#006E  n      LN010000
16#006F  o      LO010000
16#0070  p      LP010000
16#0071  q      LQ010000
16#0072  r      LR010000
16#0073  s      LS010000
16#0074  t      LT010000
16#0075  u      LU010000
16#0076  v      LV010000
16#0077  w      LW010000
16#0078  x      LX010000
16#0079  y      LY010000
16#007A  z      LZ010000
16#007B  braceleft      SM110000
16#007C  bar  verticalbar    SM130000
16#007D  braceright      SM140000
16#007E  asciitilde      SD190000
16#007F    controlDEL    DEL
16#0080        SP300000 c128
16#0081        SP030000 c129
16#0082        SC040000
16#0083        SC020000
16#0084        SC010000
16#0085        SC050000
16#0086        SM650000
16#0087        SM240000
16#0088        SD170000 diaeresis
16#0089        SM520000
16#008A        SM210000
16#008B        SP170000
16#008C        SM660000
16#008D        SP320000 c141
16#008E        SM530000 c142
16#008F        SM150000 overstore c143
16#0090        SM190000
16#0091        SA020000
16#0092        ND021000
16#0093        ND031000
16#0094        SD110000
16#0095        SM170000 micro
16#0096        SM250000
16#0097        SD630000 periodcentered.0
16#0098        SD410000
16#0099        ND011000
16#009A        SM200000
16#009B        SP180000
16#009C        NF040000
16#009D        NF010000
16#009E        NF050000
16#009F        SP160000
16#00A0    nbspace nonbreakingspace    LA140000
16#00A1  exclamdown      LA120000
16#00A2  cent      LA160000
16#00A3  sterling      LA200000
16#00A4  currency      LA180000
16#00A5  yen      LA280000
16#00A6  brokenbar      LA520000
16#00A7  section      LC420000
16#00A8  dieresis      LE140000
16#00A9  copyright      LE120000
16#00AA  ordfeminine      LE160000
16#00AB  guillemotleft      LE180000
16#00AC  logicalnot      LI140000
16#00AD    sfthyphen softhyphen    LI120000
16#00AE  registered      LI160000
16#00AF  macron  overscore    LI180000
16#00B0  degree
16#00B1  plusminus      LN200000
16#00B2    twosuperior    LO140000
16#00B3    threesuperior    LO120000
16#00B4  acute      LO160000
16#00B5  mu  mu1    LO200000
16#00B6  paragraph      LO180000
16#00B7  periodcentered  middot    SA070000
16#00B8  cedilla
16#00B9    onesuperior    LU140000
16#00BA  ordmasculine      LU120000
16#00BB  guillemotright      LU160000
16#00BC  onequarter      LU180000
16#00BD  onehalf      LY120000
16#00BE  threequarters      LT640000
16#00BF  questiondown      LS610000
16#00C0  Agrave      LA130000
16#00C1  Aacute      LA110000
16#00C2  Acircumflex      LA150000
16#00C3  Atilde      LA190000
16#00C4  Adieresis      LA170000
16#00C5  Aring      LA270000
16#00C6  AE      LA510000
16#00C7  Ccedilla      LC410000
16#00C8  Egrave      LE130000
16#00C9  Eacute      LE110000
16#00CA  Ecircumflex      LE150000
16#00CB  Edieresis      LE170000
16#00CC  Igrave      LI130000
16#00CD  Iacute      LI110000
16#00CE  Icircumflex      LI150000
16#00CF  Idieresis      LI170000
16#00D0  Eth      LD630000
16#00D1  Ntilde      LN190000
16#00D2  Ograve      LO130000
16#00D3  Oacute      LO110000
16#00D4  Ocircumflex      LO150000
16#00D5  Otilde      LO190000
16#00D6  Odieresis      LO170000
16#00D7  multiply      SA060000
16#00D8  Oslash
16#00D9  Ugrave      LU130000
16#00DA  Uacute      LU110000
16#00DB  Ucircumflex      LU150000
16#00DC  Udieresis      LU170000
16#00DD  Yacute      LY110000
16#00DE  Thorn      LT630000
16#00DF  germandbls      LY170000
16#00E0  agrave      LA620000
16#00E1  aacute      LA610000
16#00E2  acircumflex      LA240000
16#00E3  atilde      LA230000
16#00E4  adieresis      LA440000
16#00E5  aring      LA430000
16#00E6  ae      LC120000
16#00E7  ccedilla      LC110000
16#00E8  egrave      LC160000
16#00E9  eacute      LC150000
16#00EA  ecircumflex      LC300000
16#00EB  edieresis      LC290000
16#00EC  igrave      LC220000
16#00ED  iacute      LC210000
16#00EE  icircumflex      LD220000
16#00EF  idieresis      LD210000 dquoteright
16#00F0  eth      LD620000 Dbar Dmacron
16#00F1  ntilde      LD610000 dbar
16#00F2  ograve      LE620000
16#00F3  oacute      LE610000
16#00F4  ocircumflex      LE240000
16#00F5  otilde      LE230000
16#00F6  odieresis      LE300000
16#00F7  divide      LE290000 c144
16#00F8  oslash      LE440000
16#00F9  ugrave      LE430000
16#00FA  uacute      LE220000
16#00FB  ucircumflex      LE210000
16#00FC  udieresis      LG160000
16#00FD  yacute      LG150000
16#00FE  thorn      LG240000
16#00FF  ydieresis      LG230000
16#0100  Amacron      LG300000
16#0101  amacron      LG290000 c158
16#0102  Abreve      LG420000
16#0103  abreve      LG110000
16#0104  Aogonek      LH160000
16#0105  aogonek      LH150000
16#0106  Cacute      LH620000 Hmacron
16#0107  cacute      LH610000 hmacron
16#0108  Ccircumflex      LI200000
16#0109  ccircumflex      LI190000
16#010A  Cdotaccent  Cdot    LI620000
16#010B  cdotaccent  cdot
16#010C  Ccaron      LI240000
16#010D  ccaron      LI230000
16#010E  Dcaron      LI440000
16#010F  dcaron      LI430000
16#0110  Dcroat  Dslash    LI300000
16#0111  dcroat  dmacron    LI610000 dslash
16#0112  Emacron
16#0113  emacron
16#0114  Ebreve      LJ160000
16#0115  ebreve      LJ150000
16#0116  Edotaccent  Edot    LK420000
16#0117  edotaccent  edot    LK410000
16#0118  Eogonek      kra
16#0119  eogonek      LL120000
16#011A  Ecaron      LL110000
16#011B  ecaron      LL420000
16#011C  Gcircumflex      LL410000
16#011D  gcircumflex      LL220000
16#011E  Gbreve      LL210000
16#011F  gbreve      LL640000
16#0120  Gdotaccent  Gdot    LL630000
16#0121  gdotaccent  gdot    LL620000
16#0122    Gcedilla Gcommaaccent    LL610000
16#0123    gcedilla gcommaaccent    LN120000
16#0124  Hcircumflex      LN110000
16#0125  hcircumflex      LN420000
16#0126  Hbar      LN410000
16#0127  hbar      LN220000
16#0128  Itilde      LN210000
16#0129  itilde      highcomman
16#012A  Imacron
16#012B  imacron
16#012C  Ibreve      LO620000
16#012D  ibreve      LO610000
16#012E  Iogonek      LO240000
16#012F  iogonek      LO230000
16#0130  Idotaccent  Idot    LO260000
16#0131  dotlessi      LO250000
16#0132  IJ      LO520000
16#0133  ij      LO510000
16#0134  Jcircumflex      LR120000
16#0135  jcircumflex      LR110000
16#0136    Kcedilla Kcommaaccent    LR420000
16#0137    kcedilla kcommaaccent    LR410000
16#0138  kgreenlandic      LR220000
16#0139  Lacute      LR210000
16#013A  lacute      LS120000
16#013B    Lcedilla Lcommaaccent    LS110000
16#013C    lcedilla lcommaaccent    LS160000
16#013D  Lcaron      LS150000
16#013E  lcaron      LS420000
16#013F  Ldot  Ldotaccent    LS410000
16#0140  ldot  ldotaccent    LS220000
16#0141  Lslash      LS210000
16#0142  lslash      LT420000
16#0143  Nacute      LT410000
16#0144  nacute      LT220000
16#0145    Ncedilla Ncommaaccent    LT210000 tquoteright
16#0146    ncedilla ncommaaccent    LT620000 Tmacron
16#0147  Ncaron      LT610000 tmacron
16#0148  ncaron      LU200000
16#0149  napostrophe  quoterightn    LU190000
16#014A  Eng      LU620000
16#014B  eng      LU610000
16#014C  Omacron      LU240000
16#014D  omacron      LU230000
16#014E  Obreve      LU280000
16#014F  obreve      LU270000
16#0150  Ohungarumlaut  Odblacute    LU260000
16#0151  ohungarumlaut  odblacute    LU250000
16#0152  OE      LU440000
16#0153  oe      LU430000
16#0154  Racute      LW160000
16#0155  racute      LW150000
16#0156    Rcedilla Rcommaaccent    LY160000
16#0157    rcedilla rcommaaccent    LY150000
16#0158  Rcaron      LY180000
16#0159  rcaron      LZ120000
16#015A  Sacute      LZ110000
16#015B  sacute      LZ300000
16#015C  Scircumflex      LZ290000
16#015D  scircumflex      LZ220000
16#015E  Scedilla      LZ210000
16#015F  scedilla
16#0160  Scaron      bbar
16#0161  scaron
16#0162    Tcedilla Tcommaaccent
16#0163    tcedilla tcommaaccent
16#0164  Tcaron
16#0165  tcaron
16#0166  Tbar
16#0167  tbar
16#0168  Utilde
16#0169  utilde      Dbar1
16#016A  Umacron
16#016B  umacron
16#016C  Ubreve
16#016D  ubreve      deltaturn
16#016E  Uring      Eturn
16#016F  uring
16#0170  Uhungarumlaut  Udblacute    Epsilon1
16#0171  uhungarumlaut  udblacute
16#0172  Uogonek      SC070000 fscript
16#0173  uogonek
16#0174  Wcircumflex      Gamma1
16#0175  wcircumflex
16#0176  Ycircumflex      Iota1
16#0177  ycircumflex      Ibar
16#0178  Ydieresis
16#0179  Zacute
16#017A  zacute
16#017B  Zdotaccent  Zdot    lambdabar
16#017C  zdotaccent  zdot    mcapturn
16#017D  Zcaron      Nhook
16#017E  zcaron      nleg
16#017F  longs  slong    Obar
16#0180    bstroke
16#0181    Bhook
16#0182    Btopbar    OI
16#0183    btopbar
16#0184    Tonesix
16#0185    tonesix
16#0186    Oopen    YR
16#0187    Chook
16#0188    chook
16#0189    Dafrican
16#018A    Dhook    eshlooprev
16#018B    Dtopbar
16#018C    dtopbar
16#018D    deltaturned
16#018E    Ereversed    Trthook
16#018F    Schwa
16#0190    Eopen
16#0191    Fhook    Upsilon2
16#0192  florin      Vcursive
16#0193    Ghook
16#0194    Gammaafrican
16#0195    hv    Zbar
16#0196    Iotaafrican    zbar
16#0197    Istroke    Yogh
16#0198    Khook    Yoghrev
16#0199    khook    yoghrev
16#019A    lbar    yoghtail
16#019B    lambdastroke    2bar
16#019C    Mturned
16#019D    Nhookleft
16#019E    nlegrightlong    glottalstopbarinv
16#019F    Ocenteredtilde
16#01A0  Ohorn      pipe
16#01A1  ohorn      pipedbl
16#01A2    Oi    pipedblbar
16#01A3    oi    exclam1
16#01A4    Phook    DZhacek
16#01A5    phook    Dzhacek
16#01A6    yr    dzhacek
16#01A7    Tonetwo
16#01A8    tonetwo
16#01A9    Esh
16#01AA    eshreversedloop
16#01AB    tpalatalhook
16#01AC    Thook
16#01AD    thook    Ahacek
16#01AE    Tretroflexhook    ahacek
16#01AF  Uhorn      Ihacek
16#01B0  uhorn      ihacek
16#01B1    Upsilonafrican    Ohacek
16#01B2    Vhook    ohacek
16#01B3    Yhook    Uhacek
16#01B4    yhook    uhacek
16#01B5    Zstroke
16#01B6    zstroke
16#01B7    Ezh
16#01B8    Ezhreversed
16#01B9    ezhreversed    Udieresishacek
16#01BA    ezhtail    udieresishacek
16#01BB    twostroke
16#01BC    Tonefive
16#01BD    tonefive    eturn
16#01BE    glottalinvertedstroke
16#01BF    wynn
16#01C0    clickdental
16#01C1    clicklateral
16#01C2    clickalveolar
16#01C3    clickretroflex
16#01C4    DZcaron    Gbar
16#01C5    Dzcaron    gbar
16#01C6    dzcaron    Ghacek
16#01C7    LJ    ghacek
16#01C8    Lj    Khacek
16#01C9    lj    khacek
16#01CA    NJ
16#01CB    Nj
16#01CC    nj
16#01CD    Acaron
16#01CE    acaron    Yoghhacek
16#01CF    Icaron    yoghhacek
16#01D0    icaron    jhacek
16#01D1    Ocaron
16#01D2    ocaron
16#01D3    Ucaron
16#01D4    ucaron
16#01D5    Udieresismacron
16#01D6    udieresismacron
16#01D7    Udieresisacute
16#01D8    udieresisacute
16#01D9    Udieresiscaron
16#01DA    udieresiscaron    Aacutering
16#01DB    Udieresisgrave    aacutering
16#01DC    udieresisgrave
16#01DD    eturned
16#01DE    Adieresismacron
16#01DF    adieresismacron
16#01E0    Adotmacron    aturn
16#01E1    adotmacron
16#01E2    AEmacron    ascriptturn
16#01E3    aemacron
16#01E4    Gstroke    cturn
16#01E5    gstroke
16#01E6  Gcaron      drthook
16#01E7  gcaron
16#01E8    Kcaron    erev
16#01E9    kcaron
16#01EA    Oogonek
16#01EB    oogonek    epsilon1
16#01EC    Oogonekmacron    epsilon1rev
16#01ED    oogonekmacron    epsilon1revhook
16#01EE    Ezhcaron    epsilon1revclosed
16#01EF    ezhcaron    jdotlessbar
16#01F0    jcaron
16#01F1    DZ    gcursive
16#01F2    Dz    Gsmallcap
16#01F3    dz    gamma1
16#01F4    Gacute    babygamma
16#01F5    gacute    hturn
16#01F8        ibar
16#01F9        iota1
16#01FA  Aringacute      Ismallcap
16#01FB  aringacute      lmidtilde
16#01FC  AEacute
16#01FD  aeacute      lrthook
16#01FE  Oslashacute  Ostrokeacute    lyogh
16#01FF  oslashacute  ostrokeacute    mturn
16#0200    Adblgrave    mturndescend
16#0201    adblgrave
16#0202    Ainvertedbreve    nlftlfthook
16#0203    ainvertedbreve    nrthook
16#0204    Edblgrave    Nsmallcap
16#0205    edblgrave    obar
16#0206    Einvertedbreve    OEsmallcap
